Campaign,Campaign Daily Budget,Campaign Type,Networks,Languages,Ad Group,Max CPC,Keyword,Criterion Type,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Description 1,Description 2,Final URL,Path 1,Path 2
"[01] - GS - Fundo de Funil - BRAIN TRAINING FOR DOGS","","","","","","","ebay","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - BRAIN TRAINING FOR DOGS","","","","","","","walmart","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - BRAIN TRAINING FOR DOGS","","","","","","","coupon","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - BRAIN TRAINING FOR DOGS","","","","","","","discount code","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - BRAIN TRAINING FOR DOGS","","","","","","","refund","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - BRAIN TRAINING FOR DOGS","","","","","","","does it work","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - BRAIN TRAINING FOR DOGS","","","","","","","is it legit","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - BRAIN TRAINING FOR DOGS","","","","","","","review","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - BRAIN TRAINING FOR DOGS","","","","","","","reviews","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - PIANOFORALL","30","Search","Google search","en;pt","[01] - Termos de Compra","10","","","Pianoforall™ Official Course","Learn Piano in Days, Not Years","Complete 9-Book Audio Course","Special Limited Time 50% Off","Instant Access - Lifetime Updates","The Easiest Way to Learn Piano & Keyboard Online. Over 450,000 Students Worldwide!","Start Playing Real Piano From Day One. 60-Day Money Back Guarantee. Official Site.","https://gringatools.vercel.app/presell.html?p=Pianoforall&link=https://SEU_NICKNAME.pianofora.hop.clickbank.net","Official","Discount"
"[01] - GS - Fundo de Funil - PIANOFORALL","","","","","[01] - Termos de Compra","10","""pianoforall""","Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - PIANOFORALL","","","","","[01] - Termos de Compra","10","[pianoforall]","Exact","","","","","","","","","",""
"[01] - GS - Fundo de Funil - PIANOFORALL","","","","","[01] - Termos de Compra","10","""buy pianoforall""","Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - PIANOFORALL","","","","","[01] - Termos de Compra","10","[buy pianoforall]","Exact","","","","","","","","","",""
"[01] - GS - Fundo de Funil - PIANOFORALL","","","","","[01] - Termos de Compra","10","""order pianoforall""","Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - PIANOFORALL","","","","","[01] - Termos de Compra","10","[order pianoforall]","Exact","","","","","","","","","",""
"[01] - GS - Fundo de Funil - PIANOFORALL","","","","","[01] - Termos de Compra","10","""pianoforall official website""","Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - PIANOFORALL","","","","","[01] - Termos de Compra","10","[pianoforall official website]","Exact","","","","","","","","","",""
"[01] - GS - Fundo de Funil - PIANOFORALL","","","","","[01] - Termos de Compra","10","""learn piano pianoforall""","Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - PIANOFORALL","","","","","[01] - Termos de Compra","10","[learn piano pianoforall]","Exact","","","","","","","","","",""
"[01] - GS - Fundo de Funil - PIANOFORALL","","","","","","","free","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - PIANOFORALL","","","","","","","gratis","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - PIANOFORALL","","","","","","","login","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - PIANOFORALL","","","","","","","member","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - PIANOFORALL","","","","","","","members","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - PIANOFORALL","","","","","","","download","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - PIANOFORALL","","","","","","","pdf","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - PIANOFORALL","","","","","","","scam","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - PIANOFORALL","","","","","","","complaints","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - PIANOFORALL","","","","","","","fake","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - PIANOFORALL","","","","","","","side effects","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - PIANOFORALL","","","","","","","amazon","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - PIANOFORALL","","","","","","","ebay","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - PIANOFORALL","","","","","","","walmart","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - PIANOFORALL","","","","","","","coupon","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - PIANOFORALL","","","","","","","discount code","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - PIANOFORALL","","","","","","","refund","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - PIANOFORALL","","","","","","","does it work","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - PIANOFORALL","","","","","","","is it legit","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - PIANOFORALL","","","","","","","review","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - PIANOFORALL","","","","","","","reviews","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - ALPILEAN","35","Search","Google search","en;pt","[01] - Termos de Compra","15","","","Alpilean™ Official Website","Buy Alpilean™ (Save 80%)","Order Genuine Alpilean Today","Limited Time Official Special","60-Day Money Back Guarantee","Get Genuine Alpilean from the Official Store. 100% Natural Alpine Formula. Order Now!","Backed by a 60-Day 100% Satisfaction Guarantee. Fast USA Shipping. Dont Buy Fakes.","https://gringatools.vercel.app/presell.html?p=Alpilean&link=https://SEU_NICKNAME.alpilean.hop.clickbank.net","Official","Discount"
"[01] - GS - Fundo de Funil - ALPILEAN","","","","","[01] - Termos de Compra","15","""alpilean""","Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - ALPILEAN","","","","","[01] - Termos de Compra","15","[alpilean]","Exact","","","","","","","","","",""
"[01] - GS - Fundo de Funil - ALPILEAN","","","","","[01] - Termos de Compra","15","""buy alpilean""","Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - ALPILEAN","","","","","[01] - Termos de Compra","15","[buy alpilean]","Exact","","","","","","","","","",""
"[01] - GS - Fundo de Funil - ALPILEAN","","","","","[01] - Termos de Compra","15","""order alpilean""","Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - ALPILEAN","","","","","[01] - Termos de Compra","15","[order alpilean]","Exact","","","","","","","","","",""
"[01] - GS - Fundo de Funil - ALPILEAN","","","","","[01] - Termos de Compra","15","""alpilean official website""","Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - ALPILEAN","","","","","[01] - Termos de Compra","15","[alpilean official website]","Exact","","","","","","","","","",""
"[01] - GS - Fundo de Funil - ALPILEAN","","","","","[01] - Termos de Compra","15","""alpilean official store""","Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - ALPILEAN","","","","","[01] - Termos de Compra","15","[alpilean official store]","Exact","","","","","","","","","",""
"[01] - GS - Fundo de Funil - ALPILEAN","","","","","[01] - Termos de Compra","15","""where to buy alpilean""","Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - ALPILEAN","","","","","[01] - Termos de Compra","15","[where to buy alpilean]","Exact","","","","","","","","","",""
"[01] - GS - Fundo de Funil - ALPILEAN","","","","","","","free","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - ALPILEAN","","","","","","","gratis","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - ALPILEAN","","","","","","","login","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - ALPILEAN","","","","","","","member","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - ALPILEAN","","","","","","","members","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - ALPILEAN","","","","","","","download","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - ALPILEAN","","","","","","","pdf","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - ALPILEAN","","","","","","","scam","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - ALPILEAN","","","","","","","complaints","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - ALPILEAN","","","","","","","fake","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - ALPILEAN","","","","","","","side effects","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - ALPILEAN","","","","","","","amazon","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - ALPILEAN","","","","","","","ebay","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - ALPILEAN","","","","","","","walmart","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - ALPILEAN","","","","","","","coupon","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - ALPILEAN","","","","","","","discount code","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - ALPILEAN","","","","","","","refund","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - ALPILEAN","","","","","","","does it work","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - ALPILEAN","","","","","","","is it legit","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - ALPILEAN","","","","","","","review","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - ALPILEAN","","","","","","","reviews","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - JAVA BURN","35","Search","Google search","en;pt","[01] - Termos de Compra","15","","","Java Burn™ Official Website","Buy Java Burn™ (Save 80%)","Order Java Burn Coffee Formula","Official Limited Time Offer","60-Day 100% Money Back","Get Java Burn from the Official Website. 100% Natural Proprietary Formula. Order Now!","Backed by 60-Day 100% Money Back Guarantee. Fast USA Delivery. Exclusive Online Discount.","https://gringatools.vercel.app/presell.html?p=Java%20Burn&link=https://SEU_NICKNAME.javaburn.hop.clickbank.net","Official","Discount"
"[01] - GS - Fundo de Funil - JAVA BURN","","","","","[01] - Termos de Compra","15","""java burn""","Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - JAVA BURN","","","","","[01] - Termos de Compra","15","[java burn]","Exact","","","","","","","","","",""
"[01] - GS - Fundo de Funil - JAVA BURN","","","","","[01] - Termos de Compra","15","""buy java burn""","Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - JAVA BURN","","","","","[01] - Termos de Compra","15","[buy java burn]","Exact","","","","","","","","","",""
"[01] - GS - Fundo de Funil - JAVA BURN","","","","","[01] - Termos de Compra","15","""order java burn""","Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - JAVA BURN","","","","","[01] - Termos de Compra","15","[order java burn]","Exact","","","","","","","","","",""
"[01] - GS - Fundo de Funil - JAVA BURN","","","","","[01] - Termos de Compra","15","""java burn official website""","Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - JAVA BURN","","","","","[01] - Termos de Compra","15","[java burn official website]","Exact","","","","","","","","","",""
"[01] - GS - Fundo de Funil - JAVA BURN","","","","","[01] - Termos de Compra","15","""java burn official store""","Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - JAVA BURN","","","","","[01] - Termos de Compra","15","[java burn official store]","Exact","","","","","","","","","",""
"[01] - GS - Fundo de Funil - JAVA BURN","","","","","[01] - Termos de Compra","15","""where to buy java burn""","Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - JAVA BURN","","","","","[01] - Termos de Compra","15","[where to buy java burn]","Exact","","","","","","","","","",""
"[01] - GS - Fundo de Funil - JAVA BURN","","","","","","","free","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - JAVA BURN","","","","","","","gratis","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - JAVA BURN","","","","","","","login","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - JAVA BURN","","","","","","","member","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - JAVA BURN","","","","","","","members","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - JAVA BURN","","","","","","","download","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - JAVA BURN","","","","","","","pdf","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - JAVA BURN","","","","","","","scam","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - JAVA BURN","","","","","","","complaints","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - JAVA BURN","","","","","","","fake","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - JAVA BURN","","","","","","","side effects","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - JAVA BURN","","","","","","","amazon","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - JAVA BURN","","","","","","","ebay","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - JAVA BURN","","","","","","","walmart","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - JAVA BURN","","","","","","","coupon","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - JAVA BURN","","","","","","","discount code","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - JAVA BURN","","","","","","","refund","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - JAVA BURN","","","","","","","does it work","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - JAVA BURN","","","","","","","is it legit","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - JAVA BURN","","","","","","","review","Negative Phrase","","","","","","","","","",""
"[01] - GS - Fundo de Funil - JAVA BURN","","","","","","","reviews","Negative Phrase","","","","","","","","","",""
